actor,show_name
Joseph Della Sorte,Las Vegas Lady
Joseph Della Sorte,The Godfather Part II
Joseph Della Sorte,The Rockford Files
Joseph Medaglia,The Godfather Part II
Joseph Medaglia,The Godfather
Nick Discenza,The Godfather Part II
Carmine Foresta,Off Beat
Carmine Foresta,Prince of the City
Carmine Foresta,Dog Day Afternoon
Carmine Foresta,The Godfather Part II
Carmine Foresta,The Taking of Pelham One Two Three
Danny Aiello,One Moment
Danny Aiello,The Last Big Save
Danny Aiello,Making a Deal with the Devil
Danny Aiello,Little Italy
Danny Aiello,The Neighborhood
Danny Aiello,Henry & Me
Danny Aiello,Reach Me
Danny Aiello,Stiffs
Danny Aiello,Mulberry St.
Danny Aiello,The Last Request
Danny Aiello,Lucky Number Slevin
Danny Aiello,Moonstruck: At the Heart of an Italian Family
Danny Aiello,Brooklyn Lobster
Danny Aiello,Zeyda and the Hitman
Danny Aiello,Mail Order Bride
Danny Aiello,Off Key
Danny Aiello,Prince of Central Park
Danny Aiello,Dinner Rush
Danny Aiello,Mambo Café
Danny Aiello,18 Shades of Dust
Danny Aiello,Wilbur Falls
Danny Aiello,The Last Don II
Danny Aiello,A Brooklyn State of Mind
Danny Aiello,Dellaventura
Danny Aiello,The Last Don
Danny Aiello,Unforgotten: Twenty-Five Years After Willowbrook
Danny Aiello,Bring Me the Head of Mavis Davis
Danny Aiello,2 Days in the Valley
Danny Aiello,City Hall
Danny Aiello,Mojave Moon
Danny Aiello,Two Much
Danny Aiello,Power of Attorney
Danny Aiello,Brothers' Destiny
Danny Aiello,Lieberman in Love
Danny Aiello,Ready to Wear
Danny Aiello,Léon: The Professional
Danny Aiello,Me and the Kid
Danny Aiello,Late Night with Conan O'Brien
Danny Aiello,The Pickle
Danny Aiello,The Cemetery Club
Danny Aiello,Mistress
Danny Aiello,Ruby
Danny Aiello,29th Street
Danny Aiello,Hudson Hawk
Danny Aiello,Once Around
Danny Aiello,Building 'Jacob's Ladder'
Danny Aiello,Madonna: The Immaculate Collection
Danny Aiello,Jacob's Ladder
Danny Aiello,Richard Lewis: I'm Doomed
Danny Aiello,Night Of 100 Stars III
Danny Aiello,The Closer
Danny Aiello,Harlem Nights
Danny Aiello,Making 'Do the Right Thing'
Danny Aiello,The Preppie Murder
Danny Aiello,Do the Right Thing
Danny Aiello,Shocktroop
Danny Aiello,White Hot
Danny Aiello,The January Man
Danny Aiello,The Third Solution
Danny Aiello,Alone in the Neon Jungle
Danny Aiello,Moonstruck
Danny Aiello,The Pick-up Artist
Danny Aiello,Man on Fire
Danny Aiello,Daddy
Danny Aiello,The Hustler of Money
Danny Aiello,Radio Days
Danny Aiello,Key Exchange
Danny Aiello,The Protector
Danny Aiello,The Stuff
Danny Aiello,Lady Blue
Danny Aiello,The Purple Rose of Cairo
Danny Aiello,Tales from the Darkside
Danny Aiello,Old Enough
Danny Aiello,Once Upon a Time in America
Danny Aiello,Death Mask
Danny Aiello,Blood Feud
Danny Aiello,Blood Feud
Danny Aiello,A Question of Honor
Danny Aiello,Gemini
Danny Aiello,Chu Chu and the Philly Flash
Danny Aiello,Nurse
Danny Aiello,"Fort Apache, the Bronx"
Danny Aiello,Hide in Plain Sight
Danny Aiello,Defiance
Danny Aiello,"Lovey: A Circle of Children, Part II"
Danny Aiello,Bloodbrothers
Danny Aiello,The Last Tenant
Danny Aiello,Fingers
Danny Aiello,Hooch
Danny Aiello,The Andros Targets
Danny Aiello,The Front
Danny Aiello,Saturday Night Live
Danny Aiello,The Godfather Part II
Danny Aiello,The Godmothers
Danny Aiello,Kojak
Danny Aiello,Bang the Drum Slowly
Danny Aiello,ABC Afterschool Special
Carmine Caridi,Abby's
Carmine Caridi,Rivers 9
Carmine Caridi,Nobody Knows Anything!
Carmine Caridi,Curb Your Enthusiasm
Carmine Caridi,Money Play$
Carmine Caridi,The Good Bad Guy
Carmine Caridi,Top Dog
Carmine Caridi,NYPD Blue
Carmine Caridi,The Hat Squad
Carmine Caridi,Ruby
Carmine Caridi,Bugsy
Carmine Caridi,Femme Fatale
Carmine Caridi,The Godfather Part III
Carmine Caridi,Havana
Carmine Caridi,Booker
Carmine Caridi,Split Decisions
Carmine Caridi,Meet the Munceys
Carmine Caridi,Jake and the Fatman
Carmine Caridi,21 Jump Street
Carmine Caridi,Some Kind of Wonderful
Carmine Caridi,Blood Vows: The Story of a Mafia Wife
Carmine Caridi,The Money Pit
Carmine Caridi,The Hogan Family
Carmine Caridi,Summer Rental
Carmine Caridi,Brewster's Millions
Carmine Caridi,Tales from the Darkside
Carmine Caridi,Hunter
Carmine Caridi,Brothers
Carmine Caridi,Night Court
Carmine Caridi,Cassie & Co.
Carmine Caridi,Fame
Carmine Caridi,Simon & Simon
Carmine Caridi,Code Red
Carmine Caridi,Prince of the City
Carmine Caridi,Hill Street Blues
Carmine Caridi,Children of Divorce
Carmine Caridi,KISS Meets the Phantom of the Park
Carmine Caridi,Sword of Justice
Carmine Caridi,The Eddie Capra Mysteries
Carmine Caridi,The Cheap Detective
Carmine Caridi,Tabitha
Carmine Caridi,Car Wash
Carmine Caridi,"Quincy, M.E."
Carmine Caridi,Alice
Carmine Caridi,Starsky & Hutch
Carmine Caridi,Delancey Street: The Crisis Within
Carmine Caridi,The Godfather Part II
Carmine Caridi,The Gambler
Carmine Caridi,The Rockford Files
Carmine Caridi,Rhoda
Carmine Caridi,Crazy Joe
Carmine Caridi,Kojak
Carmine Caridi,I Could Never Have Sex with Any Man Who Has So Little Regard for My Husband
Carmine Caridi,Honor Thy Father
Carmine Caridi,The Sound Sleeper
Carmine Caridi,The Gang That Couldn't Shoot Straight
Carmine Caridi,The Anderson Tapes
Carmine Caridi,Naked City
David Baker,The Godfather Part II
David Baker,Airport 1975
David Baker,Some of My Best Friends Are...
David Baker,Rawhide
Harry Dean Stanton,Young Maverick - Dead Man's Hand
Harry Dean Stanton,American Badass: A Michael Madsen Retrospective
Harry Dean Stanton,Frank and Ava
Harry Dean Stanton,"Wim Wenders, Desperado"
Harry Dean Stanton,Linda Ronstadt: The Sound of My Voice
Harry Dean Stanton,Lucky
Harry Dean Stanton,Sick Of It All
Harry Dean Stanton,Fishtail
Harry Dean Stanton,Carlos Spills the Beans
Harry Dean Stanton,9 Full Moons
Harry Dean Stanton,The Last Stand
Harry Dean Stanton,Char·ac·ter
Harry Dean Stanton,Seven Psychopaths
Harry Dean Stanton,Harry Dean Stanton: Partly Fiction
Harry Dean Stanton,The Avengers
Harry Dean Stanton,This Must Be the Place
Harry Dean Stanton,Rango
Harry Dean Stanton,Harry Dean Stanton: Crossing Mulholland
Harry Dean Stanton,Mongo Wrestling Alliance
Harry Dean Stanton,Athena
Harry Dean Stanton,On Holiday
Harry Dean Stanton,Alice
Harry Dean Stanton,The Open Road
Harry Dean Stanton,Mr. Warmth: The Don Rickles Project
Harry Dean Stanton,Being Michael Madsen
Harry Dean Stanton,Chuck
Harry Dean Stanton,Lynch 2
Harry Dean Stanton,The Good Life
Harry Dean Stanton,"Buy the Ticket, Take the Ride"
Harry Dean Stanton,Inland Empire
Harry Dean Stanton,"You, Me and Dupree"
Harry Dean Stanton,Alien Autopsy
Harry Dean Stanton,Big Love
Harry Dean Stanton,Alpha Dog
Harry Dean Stanton,Harry Zen Stanton
Harry Dean Stanton,The Wendell Baker Story
Harry Dean Stanton,Sam Peckinpah's West: Legacy of a Hollywood Renegade
Harry Dean Stanton,Chrystal
Harry Dean Stanton,The Big Bounce
Harry Dean Stanton,The Beast Within: Making 'Alien'
Harry Dean Stanton,Two and a Half Men
Harry Dean Stanton,Anger Management
Harry Dean Stanton,Ginostra
Harry Dean Stanton,Bukowski: Born Into This
Harry Dean Stanton,Hunter Goes to Hollywood
Harry Dean Stanton,Sonny
Harry Dean Stanton,The Short Films of David Lynch
Harry Dean Stanton,The Animal
Harry Dean Stanton,The Pledge
Harry Dean Stanton,The Man Who Cried
Harry Dean Stanton,Sand
Harry Dean Stanton,The Green Mile
Harry Dean Stanton,The Straight Story
Harry Dean Stanton,Stephen King: Shining in the Dark
Harry Dean Stanton,Ballad of the Nightingale
Harry Dean Stanton,A Civil Action
Harry Dean Stanton,The Mighty
Harry Dean Stanton,Fear and Loathing in Las Vegas
Harry Dean Stanton,Fire Down Below
Harry Dean Stanton,She's So Lovely
Harry Dean Stanton,Midnight Blue
Harry Dean Stanton,Playback
Harry Dean Stanton,E! True Hollywood Story
Harry Dean Stanton,Dead Man's Walk
Harry Dean Stanton,Down Periscope
Harry Dean Stanton,Never Talk to Strangers
Harry Dean Stanton,One Hundred and One Nights
Harry Dean Stanton,Blue Tiger
Harry Dean Stanton,Against the Wall
Harry Dean Stanton,Hotel Room
Harry Dean Stanton,Warren Oates: Across the Border
Harry Dean Stanton,Cruise Control
Harry Dean Stanton,Hostages
Harry Dean Stanton,Man Trouble
Harry Dean Stanton,Twin Peaks: Fire Walk with Me
Harry Dean Stanton,Payoff
Harry Dean Stanton,Wild at Heart
Harry Dean Stanton,"Motion and Emotion: The Road to 'Paris, Texas'"
Harry Dean Stanton,Motion and Emotion: The Films of Wim Wenders
Harry Dean Stanton,Twin Peaks
Harry Dean Stanton,The Fourth War
Harry Dean Stanton,Twister
Harry Dean Stanton,Dream a Little Dream
Harry Dean Stanton,Monster Maker
Harry Dean Stanton,The French as Seen by…
Harry Dean Stanton,Mr. North
Harry Dean Stanton,The Last Temptation of Christ
Harry Dean Stanton,Stars & Bars
Harry Dean Stanton,Les Gaulois
Harry Dean Stanton,The Cowboy and the Frenchman
Harry Dean Stanton,Slam Dance
Harry Dean Stanton,Rip Van Winkle
Harry Dean Stanton,Pretty in Pink
Harry Dean Stanton,Fool for Love
Harry Dean Stanton,One Magic Christmas
Harry Dean Stanton,UFOria
Harry Dean Stanton,The Care Bears Movie
Harry Dean Stanton,Terror in the Aisles
Harry Dean Stanton,"Paris, Texas"
Harry Dean Stanton,Red Dawn
Harry Dean Stanton,Repo Man
Harry Dean Stanton,The Bear
Harry Dean Stanton,Christine
Harry Dean Stanton,I Want to Live
Harry Dean Stanton,Faerie Tale Theatre
Harry Dean Stanton,Young Doctors in Love
Harry Dean Stanton,One from the Heart
Harry Dean Stanton,Escape from New York
Harry Dean Stanton,Private Benjamin
Harry Dean Stanton,The Oldest Living Graduate
Harry Dean Stanton,The Black Marble
Harry Dean Stanton,Death Watch
Harry Dean Stanton,The Rose
Harry Dean Stanton,Wise Blood
Harry Dean Stanton,Alien
Harry Dean Stanton,Flatbed Annie & Sweetie Pie: Lady Truckers
Harry Dean Stanton,Straight Time
Harry Dean Stanton,Renaldo and Clara
Harry Dean Stanton,The Missouri Breaks
Harry Dean Stanton,Laverne & Shirley
Harry Dean Stanton,The Ransom of Red Chief
Harry Dean Stanton,Saturday Night Live
Harry Dean Stanton,92 in the Shade
Harry Dean Stanton,"Farewell, My Lovely"
Harry Dean Stanton,The Fortune
Harry Dean Stanton,The Legendary Curse of the Hope Diamond
Harry Dean Stanton,Rancho Deluxe
Harry Dean Stanton,Rafferty and the Gold Dust Twins
Harry Dean Stanton,"Win, Place or Steal"
Harry Dean Stanton,The Godfather Part II
Harry Dean Stanton,Cockfighter
Harry Dean Stanton,Zandy's Bride
Harry Dean Stanton,Where the Lilies Bloom
Harry Dean Stanton,Dillinger
Harry Dean Stanton,Pat Garrett & Billy the Kid
Harry Dean Stanton,"Cry for Me, Billy"
Harry Dean Stanton,Cisco Pike
Harry Dean Stanton,Two-Lane Blacktop
Harry Dean Stanton,The Intruders
Harry Dean Stanton,Kelly's Heroes
Harry Dean Stanton,Rebel Rousers
Harry Dean Stanton,Lanton Mills
Harry Dean Stanton,The Name of the Game
Harry Dean Stanton,The Mini-Skirt Mob
Harry Dean Stanton,Day of the Evil Gun
Harry Dean Stanton,The Hostage
Harry Dean Stanton,Mannix
Harry Dean Stanton,The High Chaparral
Harry Dean Stanton,The Guns of Will Sonnett
Harry Dean Stanton,Cimarron Strip
Harry Dean Stanton,A Time for Killing
Harry Dean Stanton,Cool Hand Luke
Harry Dean Stanton,The Dangerous Days Of Kiowa Jones
Harry Dean Stanton,Ride in the Whirlwind
Harry Dean Stanton,The Big Valley
Harry Dean Stanton,Daniel Boone
Harry Dean Stanton,Petticoat Junction
Harry Dean Stanton,The Fugitive
Harry Dean Stanton,The Man from the Diners' Club
Harry Dean Stanton,Combat!
Harry Dean Stanton,Stoney Burke
Harry Dean Stanton,How the West Was Won
Harry Dean Stanton,Hero's Island
Harry Dean Stanton,Cain's Hundred
Harry Dean Stanton,The Roaring 20's
Harry Dean Stanton,The Andy Griffith Show
Harry Dean Stanton,The Adventures of Huckleberry Finn
Harry Dean Stanton,Escape to Sonoita
Harry Dean Stanton,A Dog's Best Friend
Harry Dean Stanton,The Jayhawkers!
Harry Dean Stanton,Johnny Ringo
Harry Dean Stanton,Lock-Up
Harry Dean Stanton,Laramie
Harry Dean Stanton,Bonanza
Harry Dean Stanton,Pork Chop Hill
Harry Dean Stanton,The Lawless Years
Harry Dean Stanton,Rawhide
Harry Dean Stanton,Man with a Camera
Harry Dean Stanton,Bat Masterson
Harry Dean Stanton,Westinghouse Desilu Playhouse
Harry Dean Stanton,The Rifleman
Harry Dean Stanton,The Texan
Harry Dean Stanton,The Proud Rebel
Harry Dean Stanton,The Walter Winchell File
Harry Dean Stanton,Suspicion
Harry Dean Stanton,"Have Gun, Will Travel"
Harry Dean Stanton,Revolt at Fort Laramie
Harry Dean Stanton,Tomahawk Trail
Harry Dean Stanton,The Wrong Man
Harry Dean Stanton,Dick Powell's Zane Grey Theatre
Harry Dean Stanton,Playwrights '56
Harry Dean Stanton,Alfred Hitchcock Presents
Harry Dean Stanton,Gunsmoke
Harry Dean Stanton,The Adventures of Rin Tin Tin
Harry Dean Stanton,Inner Sanctum
Fay Spain,The Godfather Part II
Fay Spain,Police Woman
Fay Spain,The Todd Killings
Fay Spain,The Man and the City
Fay Spain,Night Gallery
Fay Spain,The Naked Zoo
Fay Spain,Medical Center
Fay Spain,Mannix
Fay Spain,Welcome to Hard Times
Fay Spain,Ironside
Fay Spain,The Rat Patrol
Fay Spain,The Gentle Rain
Fay Spain,Hogan's Heroes
Fay Spain,Cordillera
Fay Spain,"Gomer Pyle, U.S.M.C."
Fay Spain,Daniel Boone
Fay Spain,Flight to Fury
Fay Spain,The Greatest Show on Earth
Fay Spain,The Fugitive
Fay Spain,Thunder Island
Fay Spain,Going My Way
Fay Spain,Stoney Burke
Fay Spain,Black Gold
Fay Spain,Ben Casey
Fay Spain,Dr. Kildare
Fay Spain,Cain's Hundred
Fay Spain,Hercules and the Captive Women
Fay Spain,Route 66
Fay Spain,The Private Lives of Adam and Eve
Fay Spain,The Detectives
Fay Spain,Hawaiian Eye
Fay Spain,Adventures in Paradise
Fay Spain,The Alaskans
Fay Spain,Riverboat
Fay Spain,Bonanza
Fay Spain,The Beat Generation
Fay Spain,Al Capone
Fay Spain,Rawhide
Fay Spain,77 Sunset Strip
Fay Spain,Bat Masterson
Fay Spain,Naked City
Fay Spain,The Texan
Fay Spain,God's Little Acre
Fay Spain,Wanted: Dead or Alive
Fay Spain,A Town Has Turned To Dust
Fay Spain,The Crooked Circle
Fay Spain,Maverick
Fay Spain,Perry Mason
Fay Spain,M Squad
Fay Spain,Teenage Doll
Fay Spain,Sugarfoot
Fay Spain,"Have Gun, Will Travel"
Fay Spain,The Abductors
Fay Spain,Dragstrip Girl
Fay Spain,Wire Service
Fay Spain,Alfred Hitchcock Presents
Fay Spain,Cheyenne
Fay Spain,Gunsmoke
Fay Spain,The Millionaire
Fay Spain,Dragnet
Fay Spain,Schlitz Playhouse of Stars
Sofia Coppola,Making Waves: The Art of Cinematic Sound
Sofia Coppola,Fantastic Mr. Murray
Sofia Coppola,What We Do in the Shadows
Sofia Coppola,Elvis Goes There
Sofia Coppola,Always at The Carlyle
Sofia Coppola,Revisiting The Virgin Suicides
Sofia Coppola,The Family Whistle
Sofia Coppola,Sunset Strip
Sofia Coppola,Making Somewhere
Sofia Coppola,La Traversée du désir
Sofia Coppola,40 x 15: The Forty Years of the Directors' Fortnight
Sofia Coppola,Fog City Mavericks
Sofia Coppola,The Making of Marie Antoinette
Sofia Coppola,Marc Jacobs & Louis Vuitton
Sofia Coppola,Cut Shorts
Sofia Coppola,Beastie Boys Solid Gold Hits
Sofia Coppola,Lost on Location: Behind the Scenes of 'Lost in Translation'
Sofia Coppola,The Work of Director Spike Jonze
Sofia Coppola,CQ
Sofia Coppola,The Making of The Virgin Suicides
Sofia Coppola,Beastie Boys: Video Anthology
Sofia Coppola,Star Wars: Episode I - The Phantom Menace
Sofia Coppola,Torrance Rises
Sofia Coppola,Ciao L.A.
Sofia Coppola,Changing Fashions
Sofia Coppola,Inside Monkey Zetterland
Sofia Coppola,Hearts of Darkness: A Filmmaker's Apocalypse
Sofia Coppola,The Godfather Part III
Sofia Coppola,The Spirit of '76
